phi_transmission,restoration_efficiency,mr,peak_I_high,peak_I_low,peak_I_high_total,peak_I_low_total,delta_peak_I_high,delta_peak_I_low
1.0,0.07346938775510203,0.46530612244897956,0.00031077098300933185,0.0003107709830093314,0.0010359032766978046,0.0010359032766978035,-0.002328504539312874,-0.002328504539312875
1.0,0.07346938775510203,0.4897959183673469,0.00038086407489678335,0.000380864074896814,0.0012695469163227088,0.0012695469163227615,-0.0022584114474254228,-0.0022584114474253924
1.0,0.07346938775510203,0.5142857142857142,0.0004547441509440066,0.0004547441509440012,0.001515813836480019,0.001515813836480023,-0.0021845313713782,-0.002184531371378205
1.0,0.07346938775510203,0.5387755102040817,0.0005331157065108029,0.0005331157065108029,0.0017770523550360066,0.0017770523550360066,-0.0021061598158114035,-0.0021061598158114035
1.0,0.07346938775510203,0.563265306122449,0.0006158348188224738,0.0006158348188224738,0.0020527827294082464,0.0020527827294082464,-0.0020234407034997325,-0.0020234407034997325
1.0,0.07346938775510203,0.5877551020408163,0.0007027170415925973,0.0007027170415925973,0.002342390138641991,0.002342390138641991,-0.001936558480729609,-0.001936558480729609
1.0,0.07346938775510203,0.6122448979591837,0.0007935723670008746,0.0007935723670008746,0.0026452412233362484,0.0026452412233362484,-0.0018457031553213317,-0.0018457031553213317
1.0,0.07346938775510203,0.636734693877551,0.0008882291370825511,0.0008882291370825511,0.0029607637902751703,0.0029607637902751703,-0.0017510463852396553,-0.0017510463852396553
1.0,0.07346938775510203,0.6612244897959183,0.0009865108616912489,0.0009865108616912489,0.003288369538970829,0.003288369538970829,-0.0016527646606309574,-0.0016527646606309574
1.0,0.07346938775510203,0.6857142857142857,0.0010882558407244375,0.0010882558407244375,0.0036275194690814708,0.0036275194690814708,-0.0015510196815977687,-0.0015510196815977687
1.0,0.07346938775510203,0.710204081632653,0.0011932972130821611,0.0011932972130821611,0.003977657376940536,0.003977657376940536,-0.0014459783092400451,-0.0014459783092400451
1.0,0.07346938775510203,0.7346938775510203,0.001301485809578499,0.001301485809578499,0.00433828603192833,0.00433828603192833,-0.0013377897127437072,-0.0013377897127437072
1.0,0.07346938775510203,0.7591836734693878,0.0014126994790076674,0.0014126994790076674,0.004708998263358891,0.004708998263358891,-0.0012265760433145389,-0.0012265760433145389
1.0,0.07346938775510203,0.7836734693877551,0.0015267692722016374,0.0015267692722016374,0.005089230907338792,0.005089230907338792,-0.0011125062501205689,-0.0011125062501205689
1.0,0.07346938775510203,0.8081632653061224,0.0016435673865995769,0.0016435673865995769,0.005478557955331923,0.005478557955331923,-0.0009957081357226294,-0.0009957081357226294
1.0,0.07346938775510203,0.8326530612244898,0.0017629682997385085,0.0017629682997385085,0.005876560999128364,0.005876560999128364,-0.0008763072225836978,-0.0008763072225836978
1.0,0.07346938775510203,0.8571428571428571,0.0018848379500129744,0.0018848379500129744,0.006282793166709915,0.006282793166709915,-0.0007544375723092319,-0.0007544375723092319
1.0,0.07346938775510203,0.8816326530612244,0.0020090476046142106,0.0020090476046142106,0.006696825348714035,0.006696825348714035,-0.0006302279177079957,-0.0006302279177079957
1.0,0.07346938775510203,0.9061224489795918,0.0021355509749814493,0.0021355509749814493,0.007118503249938166,0.007118503249938166,-0.000503724547340757,-0.000503724547340757
1.0,0.07346938775510203,0.9306122448979591,0.0022642028767356375,0.0022642028767356375,0.007547342922452125,0.007547342922452125,-0.00037507264558656874,-0.00037507264558656874
1.0,0.07346938775510203,0.9551020408163264,0.0023948446001136295,0.0023948446001136295,0.007982815333712102,0.007982815333712102,-0.00024443092220857677,-0.00024443092220857677
1.0,0.07346938775510203,0.9795918367346939,0.0025274210673670496,0.0025274210673670496,0.0084247368912235,0.0084247368912235,-0.00011185445495515665,-0.00011185445495515665
1.0,0.07346938775510203,1.0040816326530613,0.0026618405383020995,0.0026618405383020995,0.008872801794340333,0.008872801794340333,2.2565015979893188e-05,2.2565015979893188e-05
1.0,0.07346938775510203,1.0285714285714285,0.002797882780922163,0.002797882780922163,0.00932627593640723,0.00932627593640723,0.00015860725859995683,0.00015860725859995683
1.0,0.07346938775510203,1.0530612244897959,0.0029357853792997463,0.0029357853792997463,0.009785951264332501,0.009785951264332501,0.00029650985697754007,0.00029650985697754007
1.0,0.07346938775510203,1.0775510204081633,0.0030751405940781023,0.0030751405940781023,0.010250468646927035,0.010250468646927035,0.00043586507175589605,0.00043586507175589605
1.0,0.07346938775510203,1.1020408163265305,0.003215983057976238,0.003215983057976238,0.010719943526587512,0.010719943526587512,0.0005767075356540316,0.0005767075356540316
1.0,0.07346938775510203,1.126530612244898,0.0033582335657682326,0.0033582335657682326,0.011194111885894205,0.011194111885894205,0.0007189580434460263,0.0007189580434460263
1.0,0.07346938775510203,1.1510204081632653,0.0035017853486130463,0.0035017853486130463,0.011672617828710307,0.011672617828710307,0.00086250982629084,0.00086250982629084
1.0,0.07346938775510203,1.1755102040816325,0.003646441655130638,0.003646441655130638,0.01215480551710238,0.01215480551710238,0.0010071661328084317,0.0010071661328084317
1.0,0.07346938775510203,1.2,0.003792620008490764,0.003792620008490764,0.012642066694969615,0.012642066694969615,0.0011533444861685578,0.0011533444861685578
1.0,0.09795918367346938,0.0,9.56265101503297e-05,9.56265101503297e-05,0.0004995004995004995,0.0004995004995004995,-0.0025436490121718766,-0.0025436490121718766
1.0,0.09795918367346938,0.024489795918367346,9.656001022339307e-05,9.656001022339307e-05,0.0004995004995004995,0.0004995004995004995,-0.002542715512098813,-0.002542715512098813
1.0,0.09795918367346938,0.04897959183673469,9.755130399035787e-05,9.755130399035787e-05,0.0004995004995004995,0.0004995004995004995,-0.0025417242183318482,-0.0025417242183318482
1.0,0.09795918367346938,0.07346938775510203,9.86002614148211e-05,9.86002614148211e-05,0.0004995004995004995,0.0004995004995004995,-0.002540675260907385,-0.002540675260907385
1.0,0.09795918367346938,0.09795918367346938,9.965902774992793e-05,9.965902774992793e-05,0.0004995004995004995,0.0004995004995004995,-0.0025396164945722783,-0.0025396164945722783
1.0,0.09795918367346938,0.12244897959183673,0.00010082365011923909,0.00010082365011923909,0.0004995004995004995,0.0004995004995004995,-0.002538451872202967,-0.002538451872202967
1.0,0.09795918367346938,0.14693877551020407,0.00010200743055683644,0.00010200743055683644,0.0004995004995004995,0.0004995004995004995,-0.0025372680917653697,-0.0025372680917653697
1.0,0.09795918367346938,0.17142857142857143,0.00010330122657842294,0.00010330122657842294,0.0004995004995004995,0.0004995004995004995,-0.0025359742957437835,-0.0025359742957437835
1.0,0.09795918367346938,0.19591836734693877,0.00010465446442814714,0.00010465446442814714,0.0004995004995004995,0.0004995004995004995,-0.0025346210578940593,-0.0025346210578940593
1.0,0.09795918367346938,0.2204081632653061,0.00010610450361103628,0.00010610450361103628,0.0004995004995004995,0.0004995004995004995,-0.00253317101871117,-0.00253317101871117
1.0,0.09795918367346938,0.24489795918367346,0.00010768540757246603,0.00010768540757246603,0.0004995004995004995,0.0004995004995004995,-0.0025315901147497403,-0.0025315901147497403
1.0,0.09795918367346938,0.2693877551020408,0.0001094303533763616,0.0001094303533763616,0.0004995004995004995,0.0004995004995004995,-0.0025298451689458445,-0.0025298451689458445
1.0,0.09795918367346938,0.29387755102040813,0.00011137438291887477,0.00011137438291887477,0.0004995004995004995,0.0004995004995004995,-0.0025279011394033317,-0.0025279011394033317
1.0,0.09795918367346938,0.3183673469387755,0.0001136376293130351,0.0001136376293130351,0.0004995004995004995,0.0004995004995004995,-0.0025256378930091712,-0.0025256378930091712
1.0,0.09795918367346938,0.34285714285714286,0.00011653219433370148,0.00011653219433370148,0.0004995004995004995,0.0004995004995004995,-0.002522743327988505,-0.002522743327988505
1.0,0.09795918367346938,0.36734693877551017,0.00012363807969907538,0.00012363807969907538,0.0004995004995004995,0.0004995004995004995,-0.002515637442623131,-0.002515637442623131
1.0,0.09795918367346938,0.39183673469387753,0.0001466033030659467,0.00014660330306594664,0.0004995004995004995,0.0004995004995004995,-0.0024926722192562594,-0.0024926722192562594
1.0,0.09795918367346938,0.4163265306122449,0.00019082797027427956,0.00019082797027425758,0.0006360932342467382,0.0006360932342466765,-0.0024484475520479268,-0.002448447552047949
1.0,0.09795918367346938,0.4408163265306122,0.00024668495289943156,0.00024668495289943156,0.0008222831763326115,0.0008222831763326115,-0.0023925905694227746,-0.0023925905694227746
1.0,0.09795918367346938,0.46530612244897956,0.00031077098300933185,0.0003107709830093314,0.0010359032766978046,0.0010359032766978035,-0.002328504539312874,-0.002328504539312875
1.0,0.09795918367346938,0.4897959183673469,0.00038086407489678335,0.000380864074896814,0.0012695469163227088,0.0012695469163227615,-0.0022584114474254228,-0.0022584114474253924
1.0,0.09795918367346938,0.5142857142857142,0.0004547441509440066,0.0004547441509440012,0.001515813836480019,0.001515813836480023,-0.0021845313713782,-0.002184531371378205
1.0,0.09795918367346938,0.5387755102040817,0.0005331157065108029,0.0005331157065108029,0.0017770523550360066,0.0017770523550360066,-0.0021061598158114035,-0.0021061598158114035
1.0,0.09795918367346938,0.563265306122449,0.0006158348188224738,0.0006158348188224738,0.0020527827294082464,0.0020527827294082464,-0.0020234407034997325,-0.0020234407034997325
1.0,0.09795918367346938,0.5877551020408163,0.0007027170415925973,0.0007027170415925973,0.002342390138641991,0.002342390138641991,-0.001936558480729609,-0.001936558480729609
1.0,0.09795918367346938,0.6122448979591837,0.0007935723670008746,0.0007935723670008746,0.0026452412233362484,0.0026452412233362484,-0.0018457031553213317,-0.0018457031553213317
1.0,0.09795918367346938,0.636734693877551,0.0008882291370825511,0.0008882291370825511,0.0029607637902751703,0.0029607637902751703,-0.0017510463852396553,-0.0017510463852396553
1.0,0.09795918367346938,0.6612244897959183,0.0009865108616912489,0.0009865108616912489,0.003288369538970829,0.003288369538970829,-0.0016527646606309574,-0.0016527646606309574
1.0,0.09795918367346938,0.6857142857142857,0.0010882558407244375,0.0010882558407244375,0.0036275194690814708,0.0036275194690814708,-0.0015510196815977687,-0.0015510196815977687
1.0,0.09795918367346938,0.710204081632653,0.0011932972130821611,0.0011932972130821611,0.003977657376940536,0.003977657376940536,-0.0014459783092400451,-0.0014459783092400451
1.0,0.09795918367346938,0.7346938775510203,0.001301485809578499,0.001301485809578499,0.00433828603192833,0.00433828603192833,-0.0013377897127437072,-0.0013377897127437072
1.0,0.09795918367346938,0.7591836734693878,0.0014126994790076674,0.0014126994790076674,0.004708998263358891,0.004708998263358891,-0.0012265760433145389,-0.0012265760433145389
1.0,0.09795918367346938,0.7836734693877551,0.0015267692722016374,0.0015267692722016374,0.005089230907338792,0.005089230907338792,-0.0011125062501205689,-0.0011125062501205689
1.0,0.09795918367346938,0.8081632653061224,0.0016435673865995769,0.0016435673865995769,0.005478557955331923,0.005478557955331923,-0.0009957081357226294,-0.0009957081357226294
1.0,0.09795918367346938,0.8326530612244898,0.0017629682997385085,0.0017629682997385085,0.005876560999128364,0.005876560999128364,-0.0008763072225836978,-0.0008763072225836978
1.0,0.09795918367346938,0.8571428571428571,0.0018848379500129744,0.0018848379500129744,0.006282793166709915,0.006282793166709915,-0.0007544375723092319,-0.0007544375723092319
1.0,0.09795918367346938,0.8816326530612244,0.0020090476046142106,0.0020090476046142106,0.006696825348714035,0.006696825348714035,-0.0006302279177079957,-0.0006302279177079957
1.0,0.09795918367346938,0.9061224489795918,0.0021355509749814493,0.0021355509749814493,0.007118503249938166,0.007118503249938166,-0.000503724547340757,-0.000503724547340757
1.0,0.09795918367346938,0.9306122448979591,0.0022642028767356375,0.0022642028767356375,0.007547342922452125,0.007547342922452125,-0.00037507264558656874,-0.00037507264558656874
1.0,0.09795918367346938,0.9551020408163264,0.0023948446001136295,0.0023948446001136295,0.007982815333712102,0.007982815333712102,-0.00024443092220857677,-0.00024443092220857677
1.0,0.09795918367346938,0.9795918367346939,0.0025274210673670496,0.0025274210673670496,0.0084247368912235,0.0084247368912235,-0.00011185445495515665,-0.00011185445495515665
1.0,0.09795918367346938,1.0040816326530613,0.0026618405383020995,0.0026618405383020995,0.008872801794340333,0.008872801794340333,2.2565015979893188e-05,2.2565015979893188e-05
1.0,0.09795918367346938,1.0285714285714285,0.002797882780922163,0.002797882780922163,0.00932627593640723,0.00932627593640723,0.00015860725859995683,0.00015860725859995683
1.0,0.09795918367346938,1.0530612244897959,0.0029357853792997463,0.0029357853792997463,0.009785951264332501,0.009785951264332501,0.00029650985697754007,0.00029650985697754007
1.0,0.09795918367346938,1.0775510204081633,0.0030751405940781023,0.0030751405940781023,0.010250468646927035,0.010250468646927035,0.00043586507175589605,0.00043586507175589605
1.0,0.09795918367346938,1.1020408163265305,0.003215983057976238,0.003215983057976238,0.010719943526587512,0.010719943526587512,0.0005767075356540316,0.0005767075356540316
1.0,0.09795918367346938,1.126530612244898,0.0033582335657682326,0.0033582335657682326,0.011194111885894205,0.011194111885894205,0.0007189580434460263,0.0007189580434460263
1.0,0.09795918367346938,1.1510204081632653,0.0035017853486130463,0.0035017853486130463,0.011672617828710307,0.011672617828710307,0.00086250982629084,0.00086250982629084
1.0,0.09795918367346938,1.1755102040816325,0.003646441655130638,0.003646441655130638,0.01215480551710238,0.01215480551710238,0.0010071661328084317,0.0010071661328084317
1.0,0.09795918367346938,1.2,0.003792620008490764,0.003792620008490764,0.012642066694969615,0.012642066694969615,0.0011533444861685578,0.0011533444861685578
1.0,0.12244897959183673,0.0,9.56265101503297e-05,9.56265101503297e-05,0.0004995004995004995,0.0004995004995004995,-0.0025436490121718766,-0.0025436490121718766
1.0,0.12244897959183673,0.024489795918367346,9.656001022339307e-05,9.656001022339307e-05,0.0004995004995004995,0.0004995004995004995,-0.002542715512098813,-0.002542715512098813
1.0,0.12244897959183673,0.04897959183673469,9.755130399035787e-05,9.755130399035787e-05,0.0004995004995004995,0.0004995004995004995,-0.0025417242183318482,-0.0025417242183318482
1.0,0.12244897959183673,0.07346938775510203,9.86002614148211e-05,9.86002614148211e-05,0.0004995004995004995,0.0004995004995004995,-0.002540675260907385,-0.002540675260907385
1.0,0.12244897959183673,0.09795918367346938,9.965902774992793e-05,9.965902774992793e-05,0.0004995004995004995,0.0004995004995004995,-0.0025396164945722783,-0.0025396164945722783
1.0,0.12244897959183673,0.12244897959183673,0.00010082365011923909,0.00010082365011923909,0.0004995004995004995,0.0004995004995004995,-0.002538451872202967,-0.002538451872202967
1.0,0.12244897959183673,0.14693877551020407,0.00010200743055683644,0.00010200743055683644,0.0004995004995004995,0.0004995004995004995,-0.0025372680917653697,-0.0025372680917653697
1.0,0.12244897959183673,0.17142857142857143,0.00010330122657842294,0.00010330122657842294,0.0004995004995004995,0.0004995004995004995,-0.0025359742957437835,-0.0025359742957437835
1.0,0.12244897959183673,0.19591836734693877,0.00010465446442814714,0.00010465446442814714,0.0004995004995004995,0.0004995004995004995,-0.0025346210578940593,-0.0025346210578940593
1.0,0.12244897959183673,0.2204081632653061,0.00010610450361103628,0.00010610450361103628,0.0004995004995004995,0.0004995004995004995,-0.00253317101871117,-0.00253317101871117
1.0,0.12244897959183673,0.24489795918367346,0.00010768540757246603,0.00010768540757246603,0.0004995004995004995,0.0004995004995004995,-0.0025315901147497403,-0.0025315901147497403
